"Product ID";"Reference";"Active (0 = No, 1 = Yes)";"Name";"EAN13";"UPC";"ISBN";"MPN";"Visibility";"Condition";"Show Condition (0 = No, 1 = Yes)";"Is Pack (0 = No, 1 = Yes)";"Summary";"Description";"Tags (x,y,z...)";"Available for Order (0 = No, 1 = Yes)";"Availability Date";"Show Price (0 = No, 1 = Yes)";"Creation Date";"Available Online Only (0 = No, 1 = Yes)";"Is Virtual Product (0 = No, 1 = Yes)";"Virtual File URL";"Virtual File Displayed Name";"Number of Allowed Downloads";"Expiration Date of Download";"Number of Days Accessible";"Pack Quantity Type";"Price (Tax Excluded)";"Price (Tax Included)";"Cost (Wholesale) Price";"On Sale Badge (0 = No, 1 = Yes)";"Priority Management";"Tax Rule Name";"Ecotax";"Unity";"Unit Price";"Meta Title";"Meta Keywords";"Meta Description";"Rewritten URL";"Redirect Type";"Target Redirect ID";"Target Redirect Name";"Default Category ID";"Default Category Name";"Category IDs (x,y,z...)";"Category Names (x,y,z...)";"Brand Name";"Related Product IDs (x,y,z...)";"Related Product Names (x,y,z...)";"Product Names in Pack (x,y,z...)";"Product Quantities in Pack (x,y,z...)";"Carrier Names (x,y,z...)";"Width";"Height";"Depth";"Weight";"Delivery Time of In-stock Products";"Delivery Time of Out-of-stock Products";"Additional Shipping Fees";"Delivery Time";"Sold Quantity";"Number of Sales";"Quantity";"Minimal Quantity";"Location";"Low Stock Level";"Low Stock Alert (0 = No, 1 = Yes)";"Label When in Stock";"Label When Backorder Allowed";"Action When out of Stock";"Warehouses (Reference:Name:Location) (x,y,z...)";"Quantity Discount (0 = No, 1 = Yes)";"Cover Image URL";"Image URLs (x,y,z...)";"Image Alt Texts (x,y,z...)";"Features (Name~Value~Custom) (x,y,z...)";"Is Customizable (0 = No, 1 = Yes)";"Number of Customization Text Fields";"Number of Customization File Fields";"Customization Fields (Label:Type:Required) (x,y,z...)";"Has Attachments (0 = No, 1 = Yes)";"Attachment IDs (x,y,z...)";"Attachment URLs (x,y,z...)";"Attachment Names (x,y,z...)";"Attachment Descriptions (x,y,z...)";"Default Supplier Name";"Default Supplier Reference";"Supplier Names (x,y,z...)";"Supplier References (x,y,z...)";"Supplier Prices (x,y,z...)";"Supplier Currency ISO Codes (x,y,z...)"
"1";"demo_1";"1";"Hummingbird printed t-shirt";"";"";"";"";"both";"new";"0";"0";"<p>Regular fit, round neckline, short sleeves. Made of extra long staple pima cotton. </p>
<p></p>";"<p>Symbol of lightness and delicacy, the hummingbird evokes curiosity and joy. Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"23.9";"27.724";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"hummingbird-printed-t-shirt";"301-category";"0";"";"4";"Men";"2,3,4";"Home,Clothes,Men";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"2400";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/1/1.jpg";"https://rh.rightart.co.uk/img/p/1/1.jpg,https://rh.rightart.co.uk/img/p/2/2.jpg";"Hummingbird printed t-shirt,Hummingbird printed t-shirt";"Composition~Cotton~0,Property~Short sleeves~0";"0";"0";"0";"";"0";"";"";"";"";"Fashion supplier";"";"Fashion supplier";"demo_1_46";"5.49";"PKR"
"2";"demo_3";"1";"Hummingbird printed sweater";"";"";"";"";"both";"new";"0";"0";"<p>Regular fit, round neckline, long sleeves. 100% cotton, brushed inner side for extra comfort. </p>";"<p>Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"35.9";"41.644";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"brown-bear-printed-sweater";"404";"0";"";"5";"Women";"2,3,5";"Home,Clothes,Women";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"2100";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/2/1/21.jpg";"https://rh.rightart.co.uk/img/p/2/1/21.jpg";"Brown bear printed sweater";"Composition~Cotton~0,Property~Long sleeves~0";"0";"0";"0";"";"0";"";"";"";"";"Fashion supplier";"";"Fashion supplier";"demo_3_62";"5.49";"PKR"
"3";"demo_6";"1";"The best is yet to come' Framed poster";"";"";"";"";"both";"new";"0";"0";"<p>Printed on rigid matt paper and smooth surface.</p>";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"29";"33.64";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"the-best-is-yet-to-come-framed-poster";"301-category";"0";"";"9";"Art";"2,9";"Home,Art";"Graphic Corner";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"1500";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/3/3.jpg";"https://rh.rightart.co.uk/img/p/3/3.jpg";"The best is yet to come' Framed poster";"Composition~Matt paper~0";"0";"0";"0";"";"0";"";"";"";"";"Fashion supplier";"";"Accessories supplier,Fashion supplier";"demo_6_70,demo_6_70";"2.49";"PKR,PKR"
"4";"demo_5";"1";"The adventure begins Framed poster";"";"";"";"";"both";"new";"0";"0";"<p>Printed on rigid matt finish and smooth surface.</p>";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"29";"33.64";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"the-adventure-begins-framed-poster";"404";"0";"";"9";"Art";"2,9";"Home,Art";"Graphic Corner";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"1500";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/4/4.jpg";"https://rh.rightart.co.uk/img/p/4/4.jpg";"The adventure begins Framed poster";"Composition~Matt paper~0";"0";"0";"0";"";"0";"";"";"";"";"Fashion supplier";"";"Accessories supplier,Fashion supplier";"demo_5_73,demo_5_73";"2.49";"PKR,PKR"
"5";"demo_7";"1";"Today is a good day Framed poster";"";"";"";"";"both";"new";"0";"0";"<p>Printed on rigid paper with matt finish and smooth surface.</p>";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"29";"33.64";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"today-is-a-good-day-framed-poster";"301-category";"0";"";"9";"Art";"2,9";"Home,Art";"Graphic Corner";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"900";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/5/5.jpg";"https://rh.rightart.co.uk/img/p/5/5.jpg";"Today is a good day Framed poster";"Composition~Matt paper~0";"0";"0";"0";"";"0";"";"";"";"";"Fashion supplier";"";"Accessories supplier,Fashion supplier";"demo_5_76,demo_5_76";"2.49";"PKR,PKR"
"6";"demo_11";"1";"Mug The best is yet to come";"";"";"";"";"both";"new";"0";"0";"<p>White Ceramic Mug, 325ml.</p>";"<p>The best is yet to come! Start the day off right with a positive thought. 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"11.9";"13.804";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"mug-the-best-is-yet-to-come";"301-category";"0";"";"8";"Home Accessories";"2,6,8";"Home,Accessories,Home Accessories";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"300";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/6/6.jpg";"https://rh.rightart.co.uk/img/p/6/6.jpg";"Mug The best is yet to come";"Composition~Ceramic~0";"0";"0";"0";"";"0";"";"";"";"";"Accessories supplier";"";"Accessories supplier";"demo_11";"5.49";"PKR"
"7";"demo_12";"1";"Mug The adventure begins";"";"";"";"";"both";"new";"0";"0";"<p>White Ceramic Mug. 325ml</p>";"<p>The adventure begins with a cup of coffee. Set out to conquer the day! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"11.9";"13.804";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"mug-the-adventure-begins";"301-category";"0";"";"8";"Home Accessories";"2,6,8";"Home,Accessories,Home Accessories";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"300";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/7/7.jpg";"https://rh.rightart.co.uk/img/p/7/7.jpg";"Mug The adventure begins";"Composition~Ceramic~0";"0";"0";"0";"";"0";"";"";"";"";"Accessories supplier";"";"Accessories supplier";"demo_12";"5.49";"PKR"
"8";"demo_13";"1";"Mug Today is a good day";"";"";"";"";"both";"new";"0";"0";"<p>White Ceramic Mug. 325ml</p>";"<p>Add an optimistic touch to your morning coffee and start the day in a good mood! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"11.9";"13.804";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"mug-today-is-a-good-day";"404";"0";"";"8";"Home Accessories";"2,6,8";"Home,Accessories,Home Accessories";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"300";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/8/8.jpg";"https://rh.rightart.co.uk/img/p/8/8.jpg";"Mug Today is a good day";"Composition~Ceramic~0";"0";"0";"0";"";"0";"";"";"";"";"Accessories supplier";"";"Accessories supplier";"demo_13";"5.49";"PKR"
"9";"demo_15";"1";"Mountain fox cushion";"";"";"";"";"both";"new";"0";"0";"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>";"<p>The mountain fox cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"18.9";"21.924";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"mountain-fox-cushion";"301-category";"0";"";"8";"Home Accessories";"2,6,8";"Home,Accessories,Home Accessories";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"600";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/9/9.jpg";"https://rh.rightart.co.uk/img/p/9/9.jpg,https://rh.rightart.co.uk/img/p/1/0/10.jpg";"Mountain fox cushion,Mountain fox cushion";"Composition~Polyester~0,Property~Removable cover~0";"0";"0";"0";"";"0";"";"";"";"";"Accessories supplier";"";"Accessories supplier";"demo_15_79";"5.49";"PKR"
"10";"demo_16";"1";"Brown bear cushion";"";"";"";"";"both";"new";"0";"0";"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>";"<p>The brown bear cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>";"";"1";"0000-00-00";"1";"2025-11-17 11:02:12";"0";"0";"";"";"";"";"";"3";"18.9";"21.924";"5.49";"0";"";"PK Standard Rate (16%)";"0";"";"0";"";"";"";"brown-bear-cushion";"301-category";"0";"";"8";"Home Accessories";"2,6,8";"Home,Accessories,Home Accessories";"Studio Design";"";"";"";"";"";"0";"0";"0";"0.3";"";"";"0";"1";"";"";"600";"1";"";"0";"0";"";"";"2";"";"0";"https://rh.rightart.co.uk/img/p/1/1/11.jpg";"https://rh.rightart.co.uk/img/p/1/1/11.jpg,https://rh.rightart.co.uk/img/p/1/2/12.jpg";"Brown bear cushion,Brown bear cushion";"Composition~Polyester~0,Property~Removable cover~0";"0";"0";"0";"";"0";"";"";"";"";"Accessories supplier";"";"Accessories supplier";"demo_16_81";"5.49";"PKR"
