"Category ID";"Active (0 = No, 1 = Yes)";"Name";"Parent Category ID";"Parent Category Name";"Description";"Rewritten URL";"Meta Title";"Meta Keywords";"Meta Description";"Position";"Image URL";"Creation Date";"Group Names (x,y,z...)";"Group Reductions (x,y,z...)"
"1";"1";"Root";"0";"";"";"root";"";"";"";"0";"";"2025-11-17 11:01:00";"Customer,Guest,Visitor";""
"2";"1";"Home";"1";"Root";"";"home";"";"";"";"0";"";"2025-11-17 11:01:00";"Visitor,Customer,Guest";""
"3";"1";"Clothes";"2";"Home";"<p>Discover our favorites fashionable discoveries, a selection of cool items to integrate in your wardrobe. Compose a unique style with personality which matches your own.</p>";"clothes";"";"";"";"0";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:11";"Visitor,Customer,Guest";""
"4";"1";"Men";"3";"Clothes";"<p>T-shirts, sweaters, hoodies and men's accessories. From basics to original creations, for every style. </p>";"men";"";"";"";"0";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Visitor,Customer,Guest";""
"5";"1";"Women";"3";"Clothes";"<p>T-shirts, sweaters, hoodies and women's accessories. From basics to original creations, for every style. </p>";"women";"";"";"";"1";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Guest,Customer,Visitor";""
"6";"1";"Accessories";"2";"Home";"<p>Items and accessories for your desk, kitchen or living room. Make your house a home with our eye-catching designs. </p>";"accessories";"";"";"";"1";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Guest,Visitor,Customer";""
"7";"1";"Stationery";"6";"Accessories";"<p>Notebooks, agendas, office accessories and more. Everything you need to combine the pleasant and the useful, either at work or at home. </p>";"stationery";"";"";"";"0";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Guest,Visitor,Customer";""
"8";"1";"Home Accessories";"6";"Accessories";"<p>Details matter! Liven up your interior with our selection of home accessories. </p>";"home-accessories";"";"";"";"1";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Guest,Visitor,Customer";""
"9";"1";"Art";"2";"Home";"<p>Framed poster and vector images, all you need to give personality to your walls or bring your creative projects to life.</p>";"art";"";"";"";"2";"https://rh.rightart.co.uk/pics/cover.jpg";"2025-11-17 11:02:12";"Guest,Visitor,Customer";""
"";"";" Artist           ";"";"";"<p>Framed poster and vector images, all you need to give personality to your walls or bring your creative projects to life.</p>";" Artist           ";"";"";"";"";"https://rh.rightart.co.uk/pics/cover.jpg";"";"Guest,Visitor,Customer";""
"";"";" Subject          ";"";"";"<p>Framed poster and vector images, all you need to give personality to your walls or bring your creative projects to life.</p>";" Subject          ";"";"";"";"";"https://rh.rightart.co.uk/pics/cover.jpg";"";"Guest,Visitor,Customer";""
