"Category ID";"Active (0 = No, 1 = Yes)";"Name";"Parent Category ID";"Parent Category Name";"Description";"Rewritten URL";"Meta Title";"Meta Keywords";"Meta Description";"Position";"Image URL";"Creation Date";"Group Names (x,y,z...)";"Group Reductions (x,y,z...)"
"11";"1";"Abstract Art";"4";"Style";"Get lost in our Abstract Art Collection, where color, movement and shape come together in bold, modern ways. Every piece is picked for its feeling and story – some are calm and minimal, others are full of energy and drama. This is the kind of art that doesn’t just sit on a wall; it shifts the mood and invites you to pause, look closer and notice something new each time.

We carefully curate this abstract art collection so you can buy art online with confidence. Instead of scrolling through endless options, you’ll find a focused selection with strong composition, emotion and a fresh, contemporary vibe. Whether you love soft, dreamy shades or striking, high-contrast designs, you’ll discover abstract wall art that feels personal and true to your style.

Made for both longtime art lovers and new collectors, this collection is all about that instant connection – when a piece just “clicks” with you. Take your time, explore the gallery and follow your instinct. Find and buy abstract wall art that feels like it was made for you and brings a little extra inspiration into your everyday life.";"abstract";"Abstract Art Collection & Paintings | Right Art Uk";"";"Shop our Abstract Art Paintings. Curated pieces full of color, movement and emotion for your unique style.";"";"";"";"";""
"12";"1";"Modern Art";"4";"Style";"Step into our Modern Art Collection, where every piece is selected to spark emotion and start conversations. This curated art collection brings together bold shapes, clean lines, and powerful colors to capture the energy of today’s world. Some artworks feel calm and minimal, others feel loud and full of movement, but each one is chosen to help you express your own personality and story through art.

Whether you’re just starting to buy art or adding to a growing collection, this range is made for modern taste and a fresh mindset. You’ll find statement pieces, subtle designs, and everything in between, all carefully picked so you don’t have to scroll through endless options. Our goal is simple: to make buying modern wall art online easy, inspiring, and enjoyable, while giving you access to a thoughtful, handpicked selection you can trust.";"modern";"Modern Art Collection & Paintings | Right Art Uk";"";"Discover bold modern art paintings in our curated collection. Shop unique pieces that express your style and elevate your space.";"";"";"";"";""
"13";"1";"Line Art";"4";"Style";"Discover our Line Art Collection, a carefully curated selection for people who love clean lines, calm energy, and modern style. Inside this collection, you’ll find minimalist faces, abstract figures, flowing shapes, and expressive lines that tell a story with just a few strokes. Every piece is chosen to feel balanced, stylish, and easy to connect with, whether you love gentle, dreamy moods or bold, confident energy.

This is more than just wall art for sale – it’s a curated art collection designed to help you find pieces that match your taste without endless scrolling. Each artwork is picked for its emotion, attitude, and strong visual impact, making it simple to buy art online that feels personal and meaningful. If you enjoy modern design, subtle expression, and art that feels both trendy and timeless, this line art collection is made for you.";"line";"Line Art Collection & Paintings | Right Art Uk";"";"Shop our curated Line Art Paintings collection – minimalist, modern, and expressive pieces to match your unique style.";"";"";"";"";""
"14";"1";"silhouette paintings";"4";"Style";"Our Silhouette Paintings Collection is all about mood, contrast, and story. Inside this curated collection, you’ll find striking silhouettes of people, nature, cityscapes, animals, and abstract shapes, all set against bold skies, soft gradients, and dreamy backgrounds. Each piece plays with light and shadow to create a dramatic, almost cinematic feel that instantly draws the eye and sparks the imagination. These artworks are chosen to speak to people who love minimal style with strong emotion.

Every artwork in this collection is handpicked to make buying art online feel easy, inspiring, and meaningful. You’ll find calming, romantic, mysterious, and empowering silhouettes that feel modern yet timeless. This is not just random wall art – it’s a carefully built, curated art collection designed to help you find the perfect piece that matches your vibe and personal story. If you’re looking to shop silhouette wall art that feels unique, expressive, and full of character, this is the place to explore and discover your next favorite piece.";"silhouette";"silhouette paintings & Art Collection | Right Art Uk";"";"Shop curated Silhouette Paintings. Emotional, modern silhouettes and bold statement pieces. Discover and buy unique wall art online.";"";"";"";"";""
"15";"1";"Modern Fine Art";"4";"Style";"Our Modern Fine Art Collection is made for people who love clean lines, bold ideas, and a fresh, contemporary feel. Inside this curated collection you’ll find everything from abstract shapes and color-focused pieces to modern portraits, minimal forms, and statement graphic art. Each artwork is chosen to feel current and stylish, with a balance of calm, energy, and personality that fits a modern lifestyle and mindset.

This is a carefully built curated art collection, not random pieces. Every work is selected to make buying art online simple, enjoyable, and inspiring. You’ll discover art that feels powerful, elegant, and expressive – pieces that tell a story, reflect your taste, and make you feel something every time you look at them. If you’re searching for modern wall art and fine art paintings for sale that are unique, high-quality, and designed with intention, this collection is the perfect place to explore and find your next favorite piece.";"modern-fine";"Modern Fine Art Collection & Paintings | Right Art Uk";"";"Discover curated Modern Fine Art Paintings. Shop modern, expressive pieces and buy unique fine art online for your personal collection.";"";"";"";"";""
"16";"1";"Anime paintings";"4";"Style";"Step into our Anime Paintings, where bold color, iconic characters, and playful stories come together in one curated space. This is the place for fans who want to buy art that actually feels like them – from cute and cozy scenes to powerful, dramatic moments straight out of your favorite shows and childhood memories. Every piece is chosen to spark nostalgia, joy, and a little bit of escapism, whether you’re all about classic anime heroes, chibi characters, or fun cartoon vibes.

This curated art collection is designed for people who live and breathe anime, gaming, and pop culture. You’ll find expressive faces, dynamic poses, and story-rich worlds that bring emotion and personality to your walls. We handpick each artwork so you don’t have to scroll forever – it’s all killer, no filler. Whether you’re starting your first anime wall art setup or adding a new favorite to your collection, this is where your fandom and art taste meet in the best way";"anime";"Anime paintings & Art Collection | Right Art Uk";"";"Curated Anime Paintings collection for fans. Shop bold, nostalgic designs and buy anime-inspired art online.";"";"";"";"";""
"17";"1";"Cartoon paintings";"4";"Style";"Step into our Cartoon Paintings, where bold color, iconic characters, and playful stories come together in one curated space. This is the place for fans who want to buy art that actually feels like them – from cute and cozy scenes to powerful, dramatic moments straight out of your favorite shows and childhood memories. Every piece is chosen to spark nostalgia, joy, and a little bit of escapism, whether you’re all about classic anime heroes, chibi characters, or fun cartoon vibes.

This curated art collection is designed for people who live and breathe anime, gaming, and pop culture. You’ll find expressive faces, dynamic poses, and story-rich worlds that bring emotion and personality to your walls. We handpick each artwork so you don’t have to scroll forever – it’s all killer, no filler. Whether you’re starting your first anime wall art setup or adding a new favorite to your collection, this is where your fandom and art taste meet in the best way";"cartoon";"Cartoon paintings & Art Collection | Right Art Uk";"";"Curated Cartoon Paintings collection for fans. Shop bold, nostalgic designs and buy anime-inspired art online.";"";"";"";"";""
"18";"1";"Digital Art";"4";"Style";"Discover our Digital Art Paintings, a curated mix of bold, modern visuals and soft, dreamy designs. Each artwork is handpicked to tell a story – from abstract shapes and futuristic vibes to calm nature scenes and minimal line art. This is the place for people who love buying art that feels fresh, stylish, and full of personality. Whether you like bright statement pieces or subtle, aesthetic designs, you’ll find something here that speaks to your taste and mood.

Our Digital Art Paintings & Wall Art collection is carefully built like a gallery you can scroll through, with every piece chosen for balance, color harmony, and emotional impact. These artworks are ideal for anyone searching for a trusted, curated art collection instead of random prints online. You can explore themes like modern luxury, urban energy, peaceful nature, dreamy fantasy, and powerful portraits – all in one place. Shopping here makes it easy to discover artwork that matches your style, values, and lifestyle, so you can invest in meaningful art you’ll enjoy and feel proud to own for years.";"digital";"Digital Art Collection & Paintings | Right Art Uk";"";"Shop curated digital art paintings – modern, emotional, and stylish pieces for art lovers who want meaningful, high-quality designs.";"";"";"";"";""
"19";"1";"Street Art";"4";"Style";"Our Street Art Collection brings the rush of the city straight into your art lineup. Here you’ll find bold, high-energy pieces inspired by alley walls, subway stations, music, youth culture, and everyday life in motion. This curated art collection is all about attitude, color, and strong visual impact—perfect for anyone who loves urban style and wants to buy art that really says something.

Inside this collection, you’ll discover expressive graffiti tags, powerful characters, punchy slogans, abstract shapes, and playful pop-culture twists. Some artworks feel loud, rebellious, and raw; others are more nostalgic, dreamy, or surprisingly tender. Each piece is carefully selected so you can shop street art online with confidence, knowing every design has its own story, vibe, and mood. Browse the full range to find the graffiti wall art that matches your personality, adds edge to your art collection, and makes your space feel uniquely yours.

Whether you’re building a fresh, modern art collection or searching for that one statement piece, this street art gallery is thoughtfully curated to give you choice without the overwhelm. Every artwork is handpicked to highlight creativity, authenticity, and the bold spirit of the streets.";"street";"Street Art Collection & Paintings | Right Art Uk";"";"Explore bold street art collection. Curated collection to buy unique urban pieces that express your style.";"";"";"";"";""
"20";"1";"Graffiti paintings";"4";"Style";"Our Graffiti Paintings collection brings the rush of the city straight into your art lineup. Here you’ll find bold, high-energy pieces inspired by alley walls, subway stations, music, youth culture, and everyday life in motion. This curated art collection is all about attitude, color, and strong visual impact—perfect for anyone who loves urban style and wants to buy art that really says something.

Inside this collection, you’ll discover expressive graffiti tags, powerful characters, punchy slogans, abstract shapes, and playful pop-culture twists. Some artworks feel loud, rebellious, and raw; others are more nostalgic, dreamy, or surprisingly tender. Each piece is carefully selected so you can shop street art online with confidence, knowing every design has its own story, vibe, and mood. Browse the full range to find the graffiti wall art that matches your personality, adds edge to your art collection, and makes your space feel uniquely yours.

Whether you’re building a fresh, modern art collection or searching for that one statement piece, this street art gallery is thoughtfully curated to give you choice without the overwhelm. Every artwork is handpicked to highlight creativity, authenticity, and the bold spirit of the streets.";"graffiti";"Graffiti paintings & Art Collection | Right Art Uk";"";"Explore bold graffiti paintings. Curated collection to buy unique urban pieces that express your style.";"";"";"";"";""
