"Category ID";"Active (0 = No, 1 = Yes)";"Name";"Parent Category ID";"Parent Category Name";"Description";"Rewritten URL";"Meta Title";"Meta Keywords";"Meta Description";"Position";"Image URL";"Creation Date";"Group Names (x,y,z...)";"Group Reductions (x,y,z...)"
"3";"1";"New Arrival";"2";"home";"";"New-Arrival";"New Arrival Paintings & Wall Art | Right Art Uk";"";"";"0";"";"2025-11-17 11:02:11";"Visitor,Customer,Guest";""
"4";"1";"Style";"2";"home";"";"Style";"Paintings & Wall Art Style | Right Art Uk";"";"";"0";"";"2025-11-17 11:02:12";"Visitor,Customer,Guest";""
"5";"1";"Subjects";"2";"home";"";"Subjects";"";"";"";"";"";"";"";""
"6";"1";"Artist";"2";"home";"";"Artist";"";"";"";"";"";"";"";""
"7";"1";"Type";"2";"home";"";"Type";"";"";"";"";"";"";"";""
"8";"1";"Color";"2";"home";"";"Color";"";"";"";"";"";"";"";""
"9";"1";"Rooms";"2";"home";"";"Rooms";"";"";"";"";"";"";"";""
"10";"1";"Collection";"2";"home";"";"Collection";"";"";"";"";"";"";"";""
"11";"1";"Abstract Art";"4";"Style";"Get lost in our Abstract Art Paintings & Wall Art collection, where color, movement and shape come together in bold, modern ways. Every piece is picked for its feeling and story – some are calm and minimal, others are full of energy and drama. This is the kind of art that doesn’t just sit on a wall; it shifts the mood and invites you to pause, look closer and notice something new each time.

We carefully curate this abstract art collection so you can buy art online with confidence. Instead of scrolling through endless options, you’ll find a focused selection with strong composition, emotion and a fresh, contemporary vibe. Whether you love soft, dreamy shades or striking, high-contrast designs, you’ll discover abstract wall art that feels personal and true to your style.

Made for both longtime art lovers and new collectors, this collection is all about that instant connection – when a piece just “clicks” with you. Take your time, explore the gallery and follow your instinct. Find and buy abstract wall art that feels like it was made for you and brings a little extra inspiration into your everyday life.";"Abstract-Art";"Abstract Art Paintings & Wall Art | Right Art Uk";"";"Shop our Abstract Art Paintings & Wall Art collection. Curated pieces full of color, movement and emotion for your unique style.";"";"";"";"";""
"12";"1";"Modern Art";"4";"Style";"Step into our Modern Art Paintings & Wall Art collection, where every piece is selected to spark emotion and start conversations. This curated art collection brings together bold shapes, clean lines, and powerful colors to capture the energy of today’s world. Some artworks feel calm and minimal, others feel loud and full of movement, but each one is chosen to help you express your own personality and story through art.

Whether you’re just starting to buy art or adding to a growing collection, this range is made for modern taste and a fresh mindset. You’ll find statement pieces, subtle designs, and everything in between, all carefully picked so you don’t have to scroll through endless options. Our goal is simple: to make buying modern wall art online easy, inspiring, and enjoyable, while giving you access to a thoughtful, handpicked selection you can trust.";"Modern-Art";"Modern Art Paintings & Wall Art | Right Art Uk";"";"Discover bold modern art paintings & wall art in our curated collection. Shop unique pieces that express your style and elevate your space.";"";"";"";"";""
